"","X","gameID","date","away_team","home_team","away_even","home_even","away_powerplay","home_powerplay","away_shorthanded","home_shorthanded","away_OT","home_OT","away_SO","home_SO"
"302",302,"45254-NYR@PHI","2023-11-24","New York Rangers","Philadelphia Flyers",3,1,0,0,0,0,0,0,0,0
"303",303,"45254-PIT@BUF","2023-11-24","Pittsburgh Penguins","Buffalo Sabres",2,2,0,1,0,0,0,0,0,0
"304",304,"45254-TB@CAR","2023-11-24","Tampa Bay Lightning","Carolina Hurricanes",4,1,0,1,4,0,0,0,0,0
"305",305,"45254-TOR@CHI","2023-11-24","Toronto Maple Leafs","Chicago Blackhawks",3,3,0,0,0,0,0,1,0,0
"306",306,"45254-VAN@SEA","2023-11-24","Vancouver Canucks","Seattle Kraken",4,1,1,0,0,0,0,0,0,0
"307",307,"45254-WPG@FLA","2023-11-24","Winnipeg Jets","Florida Panthers",2,0,1,0,0,0,0,0,0,0
"308",308,"45255-ARI@VGS","2023-11-25","Arizona Coyotes","Vegas Golden Knights",2,0,0,0,0,0,0,0,0,0
"309",309,"45255-BOS@NYR","2023-11-25","Boston Bruins","New York Rangers",3,5,0,1,1,1,0,0,0,0
"310",310,"45255-CGY@COL","2023-11-25","Calgary Flames","Colorado Avalanche",1,2,0,1,0,0,0,0,0,0
"311",311,"45255-MTL@LA","2023-11-25","Montreal Canadiens","Los Angeles Kings",0,4,0,0,0,0,0,0,0,0
"312",312,"45255-PHI@NYI","2023-11-25","Philadelphia Flyers","New York Islanders",0,0,0,0,0,0,0,0,1,0
"313",313,"45255-VAN@SJ","2023-11-25","Vancouver Canucks","San Jose Sharks",1,3,0,1,2,0,0,0,0,0
"314",314,"45256-ANA@EDM","2023-11-26","Anaheim Ducks","Edmonton Oilers",2,6,0,2,0,0,0,0,0,0
"315",315,"45256-CBJ@CAR","2023-11-26","Columbus Blue Jackets","Carolina Hurricanes",2,3,0,0,0,0,0,0,0,0
"316",316,"45256-MIN@DET","2023-11-26","Minnesota Wild","Detroit Red Wings",0,2,0,2,1,0,0,0,0,0
"317",317,"45256-STL@CHI","2023-11-26","St. Louis Blues","Chicago Blackhawks",3,2,0,0,1,0,0,0,0,0
"318",318,"45256-WPG@NSH","2023-11-26","Winnipeg Jets","Nashville Predators",1,2,0,1,1,0,0,0,0,0
"319",319,"45257-BOS@CBJ","2023-11-27","Boston Bruins","Columbus Blue Jackets",2,4,0,1,0,0,0,0,0,0
"320",320,"45257-BUF@NYR","2023-11-27","Buffalo Sabres","New York Rangers",5,0,0,1,0,0,0,0,0,0
"321",321,"45257-FLA@OTT","2023-11-27","Florida Panthers","Ottawa Senators",2,0,0,0,3,0,0,0,0,0
"322",322,"45257-TB@COL","2023-11-27","Tampa Bay Lightning","Colorado Avalanche",1,3,0,1,0,0,0,0,0,0
"323",323,"45257-VGS@CGY","2023-11-27","Vegas Golden Knights","Calgary Flames",0,1,0,0,1,0,0,1,0,0
"324",324,"45257-WSH@SJ","2023-11-27","Washington Capitals","San Jose Sharks",1,1,0,1,0,0,0,0,0,0
"325",325,"45258-ANA@VAN","2023-11-28","Anaheim Ducks","Vancouver Canucks",0,2,0,1,1,0,0,0,0,0
"326",326,"45258-CAR@PHI","2023-11-28","Carolina Hurricanes","Philadelphia Flyers",4,1,0,0,0,0,0,0,0,0
"327",327,"45258-DAL@WPG","2023-11-28","Dallas Stars","Winnipeg Jets",2,0,0,0,0,0,0,0,0,0
"328",328,"45258-FLA@TOR","2023-11-28","Florida Panthers","Toronto Maple Leafs",1,1,0,0,0,0,0,0,0,1
"329",329,"45258-NYI@NJ","2023-11-28","New York Islanders","New Jersey Devils",3,4,0,1,1,0,0,0,0,0
"330",330,"45258-PIT@NSH","2023-11-28","Pittsburgh Penguins","Nashville Predators",2,2,0,0,0,0,0,1,0,0
"331",331,"45258-SEA@CHI","2023-11-28","Seattle Kraken","Chicago Blackhawks",2,4,1,0,0,0,0,0,0,0
"332",332,"45258-STL@MIN","2023-11-28","St. Louis Blues","Minnesota Wild",1,3,0,0,0,0,0,0,0,0
"333",333,"45258-TB@ARI","2023-11-28","Tampa Bay Lightning","Arizona Coyotes",1,3,0,0,0,0,0,0,0,0
"334",334,"45258-VGS@EDM","2023-11-28","Vegas Golden Knights","Edmonton Oilers",4,3,0,1,0,0,0,0,0,1
"335",335,"45259-DET@NYR","2023-11-29","Detroit Red Wings","New York Rangers",1,3,0,0,1,0,0,0,0,0
"336",336,"45259-MTL@CBJ","2023-11-29","Montreal Canadiens","Columbus Blue Jackets",4,2,0,0,0,0,0,0,0,0
"337",337,"45259-WSH@LA","2023-11-29","Washington Capitals","Los Angeles Kings",2,1,0,0,0,0,0,0,0,0
"338",338,"45260-BUF@STL","2023-11-30","Buffalo Sabres","St. Louis Blues",4,5,0,1,0,0,0,0,0,0
"339",339,"45260-CHI@DET","2023-11-30","Chicago Blackhawks","Detroit Red Wings",0,2,0,2,1,1,0,0,0,0
"340",340,"45260-COL@ARI","2023-11-30","Colorado Avalanche","Arizona Coyotes",0,2,0,1,3,0,0,1,0,0
"341",341,"45260-DAL@CGY","2023-11-30","Dallas Stars","Calgary Flames",3,3,0,0,0,0,0,1,0,0
"342",342,"45260-EDM@WPG","2023-11-30","Edmonton Oilers","Winnipeg Jets",2,0,0,1,1,0,0,0,0,0
"343",343,"45260-FLA@MTL","2023-11-30","Florida Panthers","Montreal Canadiens",4,1,0,0,1,0,0,0,0,0
"344",344,"45260-MIN@NSH","2023-11-30","Minnesota Wild","Nashville Predators",5,1,0,0,1,0,0,0,0,0
"345",345,"45260-NJ@PHI","2023-11-30","New Jersey Devils","Philadelphia Flyers",2,1,0,2,1,0,1,0,0,0
"346",346,"45260-NYI@CAR","2023-11-30","New York Islanders","Carolina Hurricanes",2,4,1,0,1,0,1,0,0,0
"347",347,"45260-PIT@TB","2023-11-30","Pittsburgh Penguins","Tampa Bay Lightning",4,1,0,1,0,0,0,0,0,0
"348",348,"45260-SEA@TOR","2023-11-30","Seattle Kraken","Toronto Maple Leafs",2,2,0,1,1,0,0,0,0,1
"349",349,"45260-SJ@BOS","2023-11-30","San Jose Sharks","Boston Bruins",0,2,0,1,0,0,0,0,0,0
